name,year,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend,legs,production_budget,theater_counts,mpaa_rating,running_time,genre,production_method,creative_type,production_companies,synopsis,link,name_slug,tconst,poster_path,similar_movies,imdb_score,bb_profit,bb_profit_multiple,bb_profit_score,bb_profit_multiple_score,bb_score,domestic_share,international_share
Star Wars Ep. VII: The Force Awakens,2015,936662225,1131561399.0,2068223624.0,247966675.0,3.78,306000000.0,9.2,PG-13,136.0,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,"Rey, a scavenger from the planet Jakku, and renegade stormtrooper FN-2187 (nickname 'Finn') embark with resistance pilot Poe Dameron on a quest to destroy Starkiller Base and search for Luke Skywalker, the last remaining Jedi.",https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,star-wars-episode-vii-the-force-awakens,tt2488496,https://image.tmdb.org/t/p/w300_and_h450_bestv2//wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,"[{'name': 'Star Trek Into Darkness', 'link': 'Star Trek Into Darkness^2013', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg'}, {'name': 'Alien', 'link': 'Alien^1979', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg'}, {'name': 'Avatar', 'link': 'Avatar^2009', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//6EiRUJpuoeQPghrs3YNktfnqOVh.jpg'}, {'name': 'Rogue One: A Star Wars Story', 'link': 'Rogue One: A Star Wars Story^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//5jX3p0apUG5bkMHtnKZch0xpkBS.jpg'}, {'name': ""The Hitchhiker's Guide to the Galaxy"", 'link': ""The Hitchhiker's Guide to the Galaxy^2005"", 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//tcrkbs4ezEklmvt39b01881P6CN.jpg'}]",7.9,1762223624.0,1.0,69.06073208676615,100.0,78.3425124607363,45.28824707980417,54.711752920195835
Avengers: Endgame,2019,858373000,1939427564.0,2797800564.0,357115007.0,3.78,400000000.0,8.1,PG-13,181.0,Action,Animation/Live Action,Super Hero,Marvel Studios,"The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers ranks compels the remaining Avengers to take one final stand in Marvel Studios' grand conclusion to twenty-two films, 'Avengers: Endgame.'",https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary,avengers-endgame,tt4154796,https://image.tmdb.org/t/p/w300_and_h450_bestv2//or06FN3Dka5tukK1e9sl16pB3iy.jpg,"[{'name': 'Captain Marvel', 'link': 'Captain Marvel^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg'}, {'name': 'Man of Steel', 'link': 'Man of Steel^2013', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg'}, {'name': 'Thor', 'link': 'Thor^2011', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg'}, {'name': 'Blade: Trinity', 'link': 'Blade: Trinity^2004', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//iVJXYToSIU0OGCuQNhuGDzxayFO.jpg'}, {'name': 'Venom', 'link': 'Venom^2018', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg'}]",8.4,2397800564.0,1.0,93.9686995978558,100.0,95.77808971849906,30.6802783245132,69.3197216754868
Avatar,2009,760507625,2028193712.0,2788701337.0,77025481.0,3.78,237000000.0,13.2,PG-13,162.0,Action,Animation/Live Action,Science Fiction,Dune Entertainment,"Jake Sully is a wounded ex-marine, thrust into an effort to settle and exploit Pandora, an exotic moon rich in bio-diversity and inhabited by the Na'vi, a ten-foot-tall humanoid species. After Neytiri, a female Na'vi, rescues Jake after he becomes separated from his team, he learns more about the planet and eventually crosses over to lead the indigenous race in a battle for survival.",https://www.the-numbers.com/movie/Avatar#tab=summary,avatar,tt0499549,https://image.tmdb.org/t/p/w300_and_h450_bestv2//6EiRUJpuoeQPghrs3YNktfnqOVh.jpg,"[{'name': 'Valerian and the City of a Thousand Planets', 'link': 'Valerian and the City of a Thousand Planets^2017', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//jfIpMh79fGRqYJ6PwZLCntzgxlF.jpg'}, {'name': 'The Fifth Element', 'link': 'The Fifth Element^1997', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg'}, {'name': 'Stargate', 'link': 'Stargate^1994', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//fyTqTETiXncfESLyKfkgEs7qg7d.jpg'}, {'name': 'Interstellar', 'link': 'Interstellar^2014', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//gEU2QniE6E77NI6lCU6MxlNBvIx.jpg'}, {'name': ""The Hitchhiker's Guide to the Galaxy"", 'link': ""The Hitchhiker's Guide to the Galaxy^2005"", 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//tcrkbs4ezEklmvt39b01881P6CN.jpg'}]",7.8,2551701337.0,1.0,100.0,100.0,100.0,27.271031677351687,72.72896832264831
Black Panther,2018,700059566,646043810.0,1346103376.0,202003951.0,3.78,200000000.0,9.9,PG-13,120.0,Action,Live Action,Super Hero,Marvel Studios,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakanadan special forces, to prevent Wakanda from being dragged into a world war.",https://www.the-numbers.com/movie/Black-Panther#tab=summary,black-panther,tt1825683,https://image.tmdb.org/t/p/w300_and_h450_bestv2//uxzzxijgPIY7slzFvMotPv8wjKA.jpg,"[{'name': 'X-Men: Apocalypse', 'link': 'X-Men: Apocalypse^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg'}, {'name': 'Captain Marvel', 'link': 'Captain Marvel^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg'}, {'name': 'Iron Man', 'link': 'Iron Man^2008', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//78lPtwv72eTNqFW9COBYI0dWDJa.jpg'}, {'name': 'Iron Man 2', 'link': 'Iron Man 2^2010', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg'}, {'name': 'Iron Man 3', 'link': 'Iron Man 3^2013', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg'}]",7.3,1146103376.0,1.0,44.9152633727683,100.0,61.44068436093781,52.006374731802175,47.993625268197825
Avengers: Infinity War,2018,678815482,1369544272.0,2048359754.0,257698183.0,3.78,300000000.0,7.7,PG-13,156.0,Action,Animation/Live Action,Super Hero,Marvel Studios,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment—the fate of Earth and existence itself has never been more uncertain. ",https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary,avengers-infinity-war,tt4154756,https://image.tmdb.org/t/p/w300_and_h450_bestv2//7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"[{'name': 'Captain Marvel', 'link': 'Captain Marvel^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg'}, {'name': 'Doctor Strange', 'link': 'Doctor Strange^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//gwi5kL7HEWAOTffiA14e4SbOGra.jpg'}, {'name': 'Fantastic Four', 'link': 'Fantastic Four^2005', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//8HLQLILZLhDQWO6JDpvY6XJLH75.jpg'}, {'name': 'X-Men: Apocalypse', 'link': 'X-Men: Apocalypse^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg'}, {'name': 'Thor', 'link': 'Thor^2011', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg'}]",8.4,1748359754.0,1.0,68.51741340761778,100.0,77.96218938533244,33.13946589091205,66.86053410908795
Titanic,1997,659363944,1548844451.0,2208208395.0,28638131.0,3.78,200000000.0,26.8,PG-13,194.0,Thriller/Suspense,Live Action,Historical Fiction,20th Century Fox,,https://www.the-numbers.com/movie/Titanic-(1997)#tab=summary,titanic,tt0120338,https://image.tmdb.org/t/p/w300_and_h450_bestv2//9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,"[{'name': 'Vanilla Sky', 'link': 'Vanilla Sky^2001', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//cAh2pCiNPftsY3aSqJuIOde7uWr.jpg'}, {'name': 'Apollo 13', 'link': 'Apollo 13^1995', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//oYUZHYMwNKnE1ef4WE5Hw2a9OAY.jpg'}, {'name': 'The Talented Mr. Ripley', 'link': 'The Talented Mr. Ripley^1999', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//erGOHMI4wpoHQRLUGt3Qjx3fhCd.jpg'}, {'name': 'In Time', 'link': 'In Time^2011', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//3Mwj2sIONQckOZP3YwsUXF7U5I4.jpg'}, {'name': ""The Time Traveler's Wife"", 'link': ""The Time Traveler's Wife^2009"", 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//J3ewuzQwhFro0pDpdcbZ4j7MYy.jpg'}]",7.8,2008208395.0,1.0,78.70076195363141,100.0,85.09053336754198,29.859679253687467,70.14032074631254
Jurassic World,2015,652270625,1018130012.0,1670400637.0,208806270.0,3.78,215000000.0,8.5,PG-13,124.0,Action,Live Action,Science Fiction,Universal Pictures,Visitors at the Jurassic World theme park run for their lives when the genetically engineered Indominus Rex and other dinosaurs go on a rampage.,https://www.the-numbers.com/movie/Jurassic-World#tab=summary,jurassic-world,tt0369610,https://image.tmdb.org/t/p/w300_and_h450_bestv2//2c0ajTi8nvrsYl5Oi1lVi6F0kd2.jpg,"[{'name': 'Jurassic Park', 'link': 'Jurassic Park^1993', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//9i3plLl89DHMz7mahksDaAo7HIS.jpg'}, {'name': 'The Shallows', 'link': 'The Shallows^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//42HlPJmiE6rQdtT2lYzPPMQYvqG.jpg'}, {'name': 'Jaws', 'link': 'Jaws^1975', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//s2xcqSFfT6F7ZXHxowjxfG0yisT.jpg'}, {'name': 'Jurassic World: Fallen Kingdom', 'link': 'Jurassic World: Fallen Kingdom^2018', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//c9XxwwhPHdaImA2f1WEfEsbhaFB.jpg'}, {'name': 'The Expendables', 'link': 'The Expendables^2010', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//8tb3x0rYBGkgOTh1dCXPpmikp1V.jpg'}]",7.0,1455400637.0,1.0,57.03648055893149,100.0,69.92553639125204,39.04875336802209,60.95124663197791
The Avengers,2012,623357910,891742301.0,1515100211.0,207438708.0,3.78,225000000.0,8.7,PG-13,143.0,Action,Animation/Live Action,Super Hero,Marvel Studios," When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins.",https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary,the-avengers,tt0848228,https://image.tmdb.org/t/p/w300_and_h450_bestv2//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"[{'name': 'X-Men: Apocalypse', 'link': 'X-Men: Apocalypse^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg'}, {'name': 'Captain Marvel', 'link': 'Captain Marvel^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg'}, {'name': 'Captain America: The First Avenger', 'link': 'Captain America: The First Avenger^2011', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg'}, {'name': 'Thor', 'link': 'Thor^2011', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg'}, {'name': 'Avengers: Age of Ultron', 'link': 'Avengers: Age of Ultron^2015', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg'}]",8.0,1290100211.0,1.0,50.558433006770024,100.0,65.39090310473901,41.14301519294026,58.85698480705973
Star Wars Ep. VIII: The Last Jedi,2017,620181382,712358507.0,1332539889.0,220009584.0,3.78,200000000.0,6.7,PG-13,150.0,Adventure,Animation/Live Action,Science Fiction,Lucasfilm,The Skywalker saga continues as the heroes of The Force Awakens join the galactic legends in an epic adventure that unlocks age-old mysteries of the Force and shocking revelations of the past. ,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary,star-wars-episode-viii-the-last-jedi,tt2527336,https://image.tmdb.org/t/p/w300_and_h450_bestv2//kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,"[{'name': 'Toy Story 4', 'link': 'Toy Story 4^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg'}, {'name': 'Rogue One: A Star Wars Story', 'link': 'Rogue One: A Star Wars Story^2016', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//5jX3p0apUG5bkMHtnKZch0xpkBS.jpg'}, {'name': 'The Fifth Element', 'link': 'The Fifth Element^1997', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg'}, {'name': 'Star Trek Into Darkness', 'link': 'Star Trek Into Darkness^2013', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg'}, {'name': 'Star Wars: The Rise of Skywalker', 'link': 'Star Wars: The Rise of Skywalker^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//db32LaOibwEliAmSL2jjDF6oDdj.jpg'}]",7.0,1132539889.0,1.0,44.38371656502369,100.0,61.06860159551658,46.5412995978239,53.458700402176106
Incredibles 2,2018,608581744,634223615.0,1242805359.0,182687905.0,3.78,200000000.0,9.1,PG,118.0,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,"Everyone's favorite family of superheroes is back, but this time Helen is in the spotlight, leaving Bob at home with Violet and Dash  to navigate the day-to-day heroics of 'normal' life. It's a tough transition for everyone, made tougher by the fact that the family is still unaware of baby Jack-Jack's emerging superpowers. When a new villain hatches a brilliant and dangerous plot, the family and Frozone must find a way to work together again—which is easier said than done, even when they're all Incredible.",https://www.the-numbers.com/movie/Incredibles-2#tab=summary,incredibles-2,tt3606756,https://image.tmdb.org/t/p/w300_and_h450_bestv2//9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,"[{'name': 'Captain Marvel', 'link': 'Captain Marvel^2019', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg'}, {'name': 'Wonder Woman', 'link': 'Wonder Woman^2017', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//gfJGlDaHuWimErCr5Ql0I8x9QSy.jpg'}, {'name': 'Man of Steel', 'link': 'Man of Steel^2013', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg'}, {'name': 'Superman Returns', 'link': 'Superman Returns^2006', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//6ZYOpyhFZrAQIe1BuhqVgzfAdGZ.jpg'}, {'name': 'Justice League', 'link': 'Justice League^2017', 'poster': 'https://image.tmdb.org/t/p/w300_and_h450_bestv2//eifGNCSDuxJeS1loAXil5bIGgvC.jpg'}]",7.6,1042805359.0,1.0,40.867061668980895,100.0,58.60694316828662,48.9683874946986,51.0316125053014
