title,link
Star Wars Ep. VII: The Force Awakens,https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary
Avengers: Endgame,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
Avatar,https://www.the-numbers.com/movie/Avatar#tab=summary
Black Panther,https://www.the-numbers.com/movie/Black-Panther#tab=summary
Avengers: Infinity War,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
Titanic,https://www.the-numbers.com/movie/Titanic-(1997)#tab=summary
Jurassic World,https://www.the-numbers.com/movie/Jurassic-World#tab=summary
The Avengers,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
Star Wars Ep. VIII: The Last Jedi,https://www.the-numbers.com/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary
Incredibles 2,https://www.the-numbers.com/movie/Incredibles-2#tab=summary
The Lion King,https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary
The Dark Knight,https://www.the-numbers.com/movie/Dark-Knight-The#tab=summary
Rogue One: A Star Wars Story,https://www.the-numbers.com/movie/Rogue-One-A-Star-Wars-Story#tab=summary
Star Wars: The Rise of Skywalker,https://www.the-numbers.com/movie/Star-Wars-The-Rise-of-Skywalker-(2019)#tab=summary
Beauty and the Beast,https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
Finding Dory,https://www.the-numbers.com/movie/Finding-Dory#tab=summary
Frozen II,https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
Star Wars Ep. I: The Phantom Menace,https://www.the-numbers.com/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary
Star Wars Ep. IV: A New Hope,https://www.the-numbers.com/movie/Star-Wars-Ep-IV-A-New-Hope#tab=summary
Avengers: Age of Ultron,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
The Dark Knight Rises,https://www.the-numbers.com/movie/Dark-Knight-Rises-The#tab=summary
Shrek 2,https://www.the-numbers.com/movie/Shrek-2#tab=summary
ET: The Extra-Terrestrial,https://www.the-numbers.com/movie/ET-The-Extra-Terrestrial#tab=summary
